"GC","HDL","IFNb","IFNg","IFNg_TNF","IL10","IL13","IL4","IL4_upLPS","LA","LiA","OA","P3C","P3C_PGE2","PA","PGE2","SA","TNF","TNF_P3C","TNF_PGE2","TPP","TPP_IFNb","TPP_IFNb_IFNg","sLPS","sLPS_IC","sLPS_IFNg","upLPS","upLPS_IC"
"Mfge8","Itpripl2","Mblac1","Gch1","Cttn","Tceal5","Slc39a10","Espnl","Dhrs11","Mrto4","Fabp4","Fabp5","Rarres1","Runx3","AA467197","Slc16a10","Abcc3","Adarb1","Tm4sf1","Rhbdf2","F3","Slc25a37","Trip10","Slc25a37","Vnn1","Cpd","Tubg2","Dhrs3"
"Pdgfc","Aak1","BC025920","Bpi","Tmem132a","Ctrl","Rtkn","Fcer2a","Ccl3","Mettl1","Mmp9","Mettl1","Ms4a7","Serpinb2","Gdf15","Vtn","Slc6a6","Adamdec1","Slc5a3","Nsun7","Slc35f2","Adarb1","Ebf1","Kl","Fjx1","Kl","Ninj1","Nrip1"
"Agrp","Ugp2","Fam155a","Gbp2","Rhbdf2","Cdca4","Egln3","Cbr3","Acot7","Nolc1","Abcc3","Wdr4","Cd59b","Pim2","Nrip3","Il18r1","Slc7a11","C1qtnf1","Hey1","Cd38","Nck2","Cd82","Fpr2","Bmp6","Pim2","Foxc1","Slc7a11","Sema6b"
"Pick1","Plekhb2","Fam110c","Batf2","Slc29a1","Rnf126","Il1r2","Palld","Ppp1r14a","Sphk1","Matk","Aqp9","Stat4","Hmgb3","Gpc4","Stat4","Fabp5","Mrps6","Zkscan2","Ikbke","Acvr1b","Ptpn1","Adarb1","Mpzl1","Adamdec1","Tnfaip6","Elf4","Il2ra"
"Cpm","Taz","Ttc7","Vamp5","Trim56","Fcgr4","Dtna","Batf3","Plat","Ccl24","Pus7","Slc16a3","Elmo2","Plekhg2","Aqp9","Pbld2","Tpst1","Parp10","Trem1","Cttn","G0s2","Fth1","A4galt","A4galt","Tspan7","Crispld2","Ell2","Ttll4"
"Sap30","Tspan12","Tlr3","Cd274","Manbal","Trp53i13","Hcfc1r1","Acot7","Ctnnal1","Abcc3","Sel1l","Exog","Dusp4","Gna12","Uchl1","Pcsk5","Ptrh2","Tnip1","Nck2","Iscu","Rhbdf2","Trip10","Mamld1","Slc5a3","Ghrl","Plagl2","Slc16a10","Slc5a3"
"Pdk4","Rspry1","Myf5","Mdk","Ikbke","Sez6l2","Homer2","Nmnat3","Homer2","Phldb1","Uck2","Bccip","Plagl2","Atp13a3","Fabp5","Ankrd9","Gna12","Stom","Zswim4","Gch1","Fxyd2","G0s2","Mpzl1","Vegfa","Slc7a11","Map1lc3a","Dnajb2","Cyb5a"
"Epdr1","Rabgap1","Axl","Ube2l6","Mitf","Spata2l","Nmnat3","Rrp1b","Clec4g","Tgm2","St14","Hs3st1","Smpdl3a","Smox","Myoz1","Rdh10","Srprb","Pnkd","Nrip1","Nfs1","Aco1","Gadd45a","Tnip1","Vnn3","Kl","Panx2","Gpsm1","Ankrd33"
"Fcgr4","Pak2","Cpxm2","Edn1","Xpc","Rbp3","Tpm2","Duoxa1","Fcer2a","Ppp1r14b","Slc25a20","Ppan","Fcamr","Ms4a7","Mgst1","Tfpi","Nrip3","Rhbdf2","Dleu7","Fpr2","Adamdec1","Mpzl1","Crispld2","Zfp281","Syt11","Insig2","Inpp1","Soat1"
"Ms4a6d","Rad21","Tmc3","Apol9a","Acvr1b","Cat","Cylc2","Rasl10a","Mettl1","Wdr4","Mfsd10","Prmt5","Lxn","Hif1a","Ficd","Vmo1","Nolc1","Dram1","Ccl5","Tmem205","Zswim4","Sod2","Gramd1a","Adarb1","Hif1a","Agap3","Acvr1b","Plin2"
