GC,HDL,IFNb,IFNg,IFNg_TNF,IL10,IL13,IL4,IL4_upLPS,LA,LiA,OA,P3C,P3C_PGE2,PA,PGE2,SA,TNF,TNF_P3C,TNF_PGE2,TPP,TPP_IFNb,TPP_IFNb_IFNg,sLPS,sLPS_IC,sLPS_IFNg,upLPS,upLPS_IC
TIMP4,SPINLW1,PHLPP2,NCF1C,CSRNP2,CLEC7A,SYT17,DAGLA,PELP1,SERF1B,TFB2M,GRWD1,HMOX1,CRLF2,SRXN1,FUZ,PMM2,TRAF3IP2,MYH11,ZNF585A,PHLDB1,RCN1,FTHL3,CA12,GPR84,ST3GAL1,MKLN1,RRAGD
KLF9,RAB40C,PCDHB3,GPC4,TMEM194,CORO2A,GPD1L,MAP1A,RNF19B,CPT1A,SLC7A11,MARS2,NINJ1,PDE4D,RSC1A1,HS3ST1,PLIN2,YARS,LOC387763,PAG1,SLCO4A1,ACO1,ALOX15B,LOC650369,KIAA1199,CYP26A1,KIAA0174,HSDL2
FBLN5,LOC652802,GAGE5,XRN1,TRAF3IP2,TREM2,IGF2BP2,C17orf87,AK2,CCL7,PTPLA,PPRC1,CSF2,TCF4,UCK2,RHOBTB3,TM4SF19,PTGES,MUCL1,C20orf127,CRISPLD2,NKG7,PRKCH,PDE4B,FBXL20,PDE4D,PATL1,GUSB
C1QA,NBPF20,ST8SIA6,RCN1,APBA3,FAM104B,EPN2,CRH,SEMA4A,PPRC1,PUS1,GNA12,SRGN,CXCL16,MITF,METRNL,G6PD,FTHL8,ILDR1,DRAM1,TSKU,CHI3L2,RFTN1,CXCL5,CBLN3,SLC43A2,FTH1,PVALB
ANTXR2,BLZF1,LOC642685,FAM126B,BAZ1B,TCN1,DENND4C,GFRA2,PTPRE,BCCIP,SRPRB,IKBKE,TNFRSF21,FAIM3,PRKCH,SLC25A44,BTG3,CFLAR,TMEM205,ELMO2,HIVEP1,PIM2,LAD1,FTHL11,SLAMF1,FAM110B,SRGN,GUSBL1
PRKCABP,SSX4,FLJ39061,STX11,SPTAN1,SIL1,ST13,ST6GAL1,CTTN,MPP6,DDX31,MGC4677,DDAH1,PANX2,SOX13,GATS,PPAN,HLA-F,LOC653610,PHIP,ACOX3,VEGFA,CCL5,EHD1,IL10RA,UBD,C21orf7,FLJ20273
CCL18,BAZ1A,NKD1,AKIRIN2,KIF1B,SLC16A5,DKFZp761P0423,IGF2BP2,CYP27B1,ACSL3,FBXL6,ECE2,IFNAR1,FTHL12,MREG,FCRL3,CXCL5,BAZ1B,FYN,EXOG,FTHL11,ARNT2,LRRFIP2,SRGN,SLC16A10,IL15,P4HTM,TCN2
GAL3ST4,NDRG4,CCDC80,FCGR1A,PARP14,DPEP3,RPL13L,CCNH,ZWILCH,CTPS,EML4,PLXNA1,TMEM50A,PPBP,IL1F5,IGFBP4,HES4,LAD1,PTPN1,FCER2,SLC1A3,AQP9,TNFRSF10B,WDR52,IL1F9,RYBP,AVPI1,FLJ20489
ANKS1A,LOC642628,ATF7IP2,C15orf24,TMEM140,FAM82A2,PLCB1,ETV6,ST6GAL1,ECE2,EBNA1BP2,HSPC111,THEM2,ABP1,TOMM40,CXCL1,MRPL14,TSPAN3,UPB1,APBA3,AHCYL1,MRPS6,POLDIP3,MAMLD1,FOXC1,ADAMDEC1,CXCL16,ADD3
C1QB,ARL8A,LOC644444,PRRX1,CBX8,CDK9,CLYBL,CKB,ADAM19,GPR172A,AADACL1,PPIL1,IL6,ZZEF1,GFPT1,CD79A,PREB,MMP9,ACTL7B,PLAGL2,WARS,ZNF281,PRDM8,GRAMD1A,C1orf38,CRKL,ADARB1,MS4A4A
SNTB1,INS-IGF2,NWD1,APOL2,LOC652616,LOC643870,HSPC159,PFKP,CFB,Magmas,NFKBIE,CTU2,TMEM37,BMP6,FBXO15,CCL23,MFSD10,MANBAL,IL2RA,PLEKHG3,RASGRP1,SRGN,CEP350,RAPGEF1,ST3GAL2,TRAF3IP2,WDFY1,CTSD
CLTC,LOC650950,CAPZA3,HLA-G,ZNF385A,CPE,CERK,SLA,ARRDC4,SEPW1,GPATCH4,POLR1C,APIP,BRPF3,PRKAG2,PDE4B,ECE2,ACO1,NSUN7,MT1A,C17orf58,ADORA2A,HOPX,BTG3,MDM1,CDC42EP5,APBB3,AKR1B1
GFRA2,SC4MOL,C8orf22,CTRL,PFTK1,DPP4,RPL14,HARS2,CCDC6,PSMA6,GNL3,MATK,LOC646431,MXD1,NMT2,MAP1LC3C,TNFRSF9,EXOG,PSTPIP2,DTX2,FTHL8,CXCL1,HIF1A,SESTD1,TNFAIP6,SLAMF7,PARP14,HIPK2
SIGLEC10,PHKA2,LOC283278,PLEKHO1,C9orf30,SHPK,ADAM12,ARV1,ITPRIPL1,C3orf26,TFRC,MAOA,GK5,TMEM127,MME,SLC26A1,MAOA,CEP350,CARD11,FTHL2,PTPRF,WDR52,FTHL12,NCK2,HEATR6,C7orf16,STX4,PALLD
SH3PXD2B,MLANA,ZC3H18,FEM1C,SLC3A2,ZNF668,SHPK,RAB40B,ETV6,TRAF3IP2,ATP2C1,STEAP1,BMP6,ST3GAL1,BAALC,MS4A7,PDLIM7,FAM20A,NUFIP2,IL32,SLAMF1,CLEC4D,PDE4B,NAMPT,UIMC1,DLL1,ZFYVE16,PAPSS2
ACSS1,C20orf94,LOC653441,CRYAB,EBAG9,NACAP1,RHCE,SHPK,DAAM1,MT1X,UGCGL2,RPL34,TMEM2,WDR52,PHLDB1,UBXN2A,GPR172A,IL2RA,NFKBIE,SELM,GYPC,MLLT6,SLAMF1,ADAMDEC1,GLIS3,USP13,MS4A14,SLA
IL1R2,MDM2,LOC731884,ZBTB43,ISCU,NA,RRP1B,GPD1L,MATK,RPL34,HSP90B1,SEPW1,EDG1,FLJ35880,SLC16A10,LOC642113,GPR84,HLA-A,ZDHHC9,CLEC4D,LAMB3,GPR84,CD82,DLL1,WSB1,LOC650369,LOC388681,BCL7B
TLR4,C4orf31,NAV3,SLCO4A1,TBX19,NA,SLC30A4,CHES1,PKD2,MRPL14,CIRH1A,SNRPA1,FTHL8,VNN2,TNS3,IVNS1ABP,PPRC1,FTH1,TBK1,MUTYH,LOC85389,MT1F,MYPOP,FTHL3,IL1A,LOC652231,ZDHHC19,CTNS
GBGT1,HYDIN,SLC35C1,PSMB10,CXCL10,NA,LOC152195,ITM2C,BID,SLCO4C1,CXorf26,GPR84,SSTR5,LOR,PREB,PLEKHG2,GLA,CLCN7,MAP1LC3A,C1QTNF1,FTH1,C13orf18,SESTD1,CSGALNACT1,A4GALT,NSUN7,SAFB,ZNF330
SLED1,SLC12A1,FOXA2,PATL1,MKLN1,NA,C17orf87,THEX1,PTGES2,ATP1A1,MMP7,IL4I1,CXCL2,NEFH,CD82,BAIAP2,SCG5,ATG2A,HIST2H2AC,LILRB4,LONP1,RNF145,PPP3CC,VNN1,VAMP4,ZHX2,ZBTB34,CRYGD
PEBP1,PPTC7,FIBP,CCL8,FTHL2,NA,C19orf12,MMP12,SPINT2,IL1RN,CCDC76,SRM,RIT1,FAM174A,PSMD14,TIMP1,CES4,MT1A,SPARC,LOC728006,AQP9,GZMB,EBI3,LAT,GNRH1,XRN1,ZNF274,APLP2
BRPF3,SRFBP1,LOC648735,PARP3,LAT,NA,GK2,CCL22,SLC5A3,TXNDC14,TRAF3IP2,ACAA2,ITGA9,SLC7A11,BTG3,ZNF613,MEI1,TREML3,TNFAIP6,PARP10,FTHL12,NINJ1,LOC650369,USP13,LRCH4,LYN,CYB5A,CYP27A1
TEX2,PDXDC2,LOC643692,SP140,ZNF436,NA,PTRF,GOLGA8A,C1S,CTU2,EMR2,ABHD2,CYP3A5,CSF2RA,PELO,CXCL2,IL1RN,SIK3,TNIP1,ANKRA2,TREML3,PRKCH,FTH1,SELM,NAF1,CA12,AOX1,CPD
BLVRB,TAF13,TMEM110,EAF1,GATAD2B,NA,FAM26C,ZNF366,GNL3,PLAUR,CCDC99,SPHK1,EBF1,MPZL1,CCL24,CCL18,KPNB1,GRAMD1A,NKG7,STAT1,KIF1B,CA12,FTHL8,NINJ1,CYP3A5,LOC654103,LOC727762,ACSL1
ITGA9,GNE,LOC642595,SCML1,UQCC,NA,KCNQ1,C1orf218,CD200,PAICS,FKBP4,PDE1B,TIMP1,FSD1CL,FUT4,SYTL3,NCAM1,GCH1,SEMA6B,KPNB1,SPHK1,CLDND2,EREG,SEMA6B,C1QTNF1,C9orf109,NRIP3,PHCA
DISP1,FAM181A,LOC732226,REC8,HLA-F,NA,ISYNA1,GALNT12,SIGLEC10,IKBKE,RAPGEF1,FLNB,STOM,DDX17,FREQ,NUP214,MGC4677,NADK,RTTN,NFE2L3,FREQ,BTG3,SOD2,SLC43A2,FTHL3,CLDND2,RABGEF1,CEACAM1
