MEMORY_vs_GC_UP	GC_vs_MEMORY_UP	NAIVE_vs_GC_UP	GC_vs_NAIVE_UP	MEMORY_vs_NAIVE_UP	NAIVE_vs_MEMORY_UP
RASAL3	SFPQ	PNRC1	PMS2P11	RDX	RFTN1
RASSF5	SGK1	PRKD2	POU2AF1	RIC8B	RFX4
RDX	SLC25A5	PRR12	PRDX3	RNASE4	RGL2
RHOB	SLC35E3	PSMB9	PRELID3B	RNF19B	RNASE6
RNASE4	SLC39A8	PSTPIP1	PRKDC	RNGTT	ROPN1
RNF19A	SMARCB1	RAB37	PRPF38A	ROBO3	ROR1
RPL21	SMS	RBMS1	PRPSAP2	RORA	RP9P
RPL27	SNX30	RGS19	PSIP1	RPL23	S1PR1
RPL30	SNX5	RHOF	PSMD10	SAMSN1	SATB1
RPL35A	SPAG5	RNF44	PXMP4	SCGB2A2	SCN3B
RPL41	SPATS2	ROR1	RAB30-DT	SCPEP1	SH3BP2
RPS6KA5	SPC24	RP9P	RABGAP1	SDR16C5	SLA
S1PR4	SPC25	RPL27	RAD21	SERPINA9	SLC25A15
SAP30L-AS1	SPI1	RPL30	RAD54L	SHISA8	SLC25A53
SELENOM	SPINK2	RPL7A	RAPGEF5	SINHCAF	SLC38A1
SERPINB6	SRSF3	RPS6KA5	RBM17	SLC16A6	SLC38A7
SERTAD2	ST14	RPSA	RFC4	SLC22A18	SLC39A8
SESN1	STK40	RXRA	RFX7	SLC27A3	SLC8A2
SH3YL1	STRAP	SAP30L-AS1	RNFT2	SLC27A4	SLITRK3
SKI	SUGCT	SELL	RNGTT	SLC2A1	SMIM10
SLC12A6	SWAP70	SETD1B	ROCK2	SLC35D1	SPATA3-AS1
SLC2A1	SYBU	SETX	ROMO1	SLC35D2	SPTLC2
SMAGP	SYCE1L	SHFL	RPA1	SLC66A3	SRBD1
SNN	SYNE2	SHISAL2A	RSU1	SLC9B2	STRBP
SNX18	TACC1	SKI	SAMHD1	SMARCB1	SWT1
SPCS3	TCL1A	SLC12A6	SEC61B	SMCO4	TBC1D22B
SRPK2	TCL1B	SLC18B1	SEMA4A	SMIM14	TCL1A
STARD5	TCL6	SLC25A24	SEPTIN2	SND1	TCL1B
STAT1	TIMELESS	SLC25A30	SERPINA9	SNHG32	TDRD12
TAF5L	TK1	SLC39A10	SLBP	SPAG5-AS1	TENT5A
TECPR1	TMCO3	SLC66A2	SLC25A15	SRGN	TENT5C
TES	TMEM106C	SNX18	SLC2A5	SSPN	TFAM
TGOLN2	TMPO-AS1	SPRY1	SLCO3A1	STK38L	TFF1
TMBIM6	TPP2	STAT1	SMARCB1	SYBU	TM6SF1
TMC8	TPX2	TGFB1	SMC2	TARBP1	TMEM71
TMEM154	TRMT5	TGFBR2	SNX30	TBC1D9	TPST1
TMEM59	TUBA1B	TMEM150A	SOX9	TBK1	TRAK1
TMEM63A	TUBA1C	TNFSF12	SRP9	TESC	TREML2
TMEM65	TUBB2A	TOP1MT	SUGCT	TEX9	TRIM17
TRIM22	TUBB3	TRIM38	SYNE2	TIGD3	TRMT61A
TRIM44	TXN2	TRIM44	SYVN1	TMEM14A	TSPAN13
TRIM73	TXNDC16	TRMT61A	TCL6	TMEM59	TTC39B
TRPM2	UBE2J1	TSPYL1	TDP1	TMEM65	USF3
TSC22D3	UCP2	TXNIP	TEC	TNFSF11	WDR19
TSPYL1	UHRF1	UBE2W	TERF2IP	TRAC	WDR63
TXNIP	USP32P2	UST	TIFA	TRAF1	WFDC21P
USP3	VDR	VAV3	TMEM106C	TRERF1	XIRP1
UST	VGLL4	VPS13C	TNFSF8	TSC22D1	XYLT1
VPS35	VNN2	VPS37B	TOP1	TWSG1	YBX3
ZADH2	VRK1	YPEL2	TUBB3	UBE2G1	ZBTB10
ZBTB7A	WAPL	ZBP1	TXNDC16	UNC50	ZBTB39
ZFP36L2	WDR66	ZBTB10	TYMS	VAMP1	ZCCHC18
ZMIZ1	WDR78	ZBTB18	UBAP2	VIM	ZNF107
ZNF264	XPNPEP1	ZFP2	UBE2C	VPS37A	ZNF418
ZNF274	YEATS2	ZMYND11	UBE2G1	WEE1	ZNF488
ZNF275	ZFAND4	ZNF274	UBR5	ZBTB20	ZNF629
ZNF284	ZFAND6	ZNF337	UHRF1	ZCCHC4	ZNF667-AS1
ZNF337	ZGRF1	ZNF41	USP32P2	ZDHHC13	ZNF736
ZNF419	ZNF141	ZNF419	VEZT	ZNF185	ZSCAN18
ZNF559	ZNF215	ZNF559	VRK1	ZNF565
ZNF615	ZNF280C	ZNF862	YWHAE
ZNF780A	ZNF608	ZSCAN18	ZFAND4
ZSCAN18	ZNF738		ZNF141
ZSCAN9	ZNF827		ZNF215
	ZWILCH		ZW10
