GSE38697_DARK_VS_LIGHT	GSE38697_LIGHT_VS_DARK	GSE12845_DARKZONE_GC_TONSIL_VS_NAIVE	GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL	GSE12845_DARKZONE_GC_TONSIL_VS_PRE_GC	GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL
WNT16	SEC16A	PSPC1	PPP1R9A	RFC1	PTPRO
	SELENOK	PSPH	PRSS53	RHOQ	QTRT1
	SEPTIN8	PTPN9	RAB11FIP3	RNF103	RAB29
	SGMS1	RAB33A	RALGDS	RNFT2	RALGDS
	SLAMF6	RAD17	REG1CP	RPL36A	RARRES1
	SLC25A21	RASGRP3	ROS1	RRP8	RASGRP2
	SLC25A46	RBM4	RPL34	SARS1	RBM47
	SLC35A3	RBM42	RPL39	SCMH1	RCVRN
	SLC37A3	RBMX	RPL9	SEC13	REST
	SOCS6	REEP5	RPS6KA2	SEC62	RGS5
	SPATS1	REXO2	RSRC1	SEL1L3	RHOC
	SRSF6	RGS16	RXRA	SGPP1	RNASE6
	ST8SIA4	RHOG	SATB1	SNF8	RNASET2
	STAMBP	RHOQ	SCN3B	SNTA1	RPS6KA5
	STK39	RMND1	SFXN3	SNU13	SAP30L-AS1
	SWT1	RMND5B	SLA	SPATS2	SCML1
	TAB2	RPL36AL	SLC12A5	ST13	SCN7A
	TBC1D5	RTF2	SLC66A2	STAT5B	SDF2L1
	TBC1D8B	RUVBL1	SMYD5	STK17A	SFSWAP
	TBCCD1	RWDD1	SNX27	STX7	SH3BP2
	TEC	SART1	SPAG4	STXBP6	SIDT1
	TELO2	SEPTIN2	SPATA2L	SUSD6	SKIL
	TFPI	SERBP1	ST3GAL1	SYBU	SLC16A7
	THY1	SKA1	SULT2B1	SYPL1	SLC26A1
	TIAL1	SMIM7	TAGLN2	TANK	SLCO1B3
	TLR1	SNX5	TAOK1	TBC1D1	SMAD3
	TMEM154	SPTAN1	TBKBP1	TBC1D12	SNORA21
	TMEM184C	SWAP70	TENT5A	TIAM1	SNX29P2
	TOX4	TADA3	TIMP1	TIMM10B	SOGA1
	TRAPPC2	TBCB	TMBIM6	TMEM230	SP110
	TRMT11	TDRD7	TMEM109	TMEM248	SPARC
	TRMT1L	TEX30	TNFSF13	TOR1A	ST3GAL5
	TSNAX	TIAM1	TNNI1	TRAFD1	STAG3L1
	TWF2	TMEM11	TNPO1	TRAK1	STK10
	UBASH3B	TMEM165	TP63	TRMT5	TAP1
	VPS45	TMEM186	TPK1	TUBGCP4	TBC1D9
	WHAMM	TOP1	TRAF3IP3	UBE2G1	TGIF1
	ZC3H8	TPCN1	TRIB2	UBE2J1	TLR7
	ZDHHC15	TPI1	TRIL	UBE4A	TMEM176B
	ZSCAN12	TRRAP	TRIM22	UBR5	TMSB10
		TST	TRIO	UBXN1	TNFRSF14
		TUBA1C	TRPV5	UCHL1	TNFSF13
		TUT7	TSKU	UGP2	TNPO1
		TXN2	UBE2W	UQCR10	TRHDE
		UBA6	UNC93A	URI1	TUBB6
		UBAP2	USP25	USE1	TYROBP
		UBE3C	USP32	USP7	UBE2L6
		UBR4	VAT1	VAMP2	UBN1
		UBXN1	VPS13C	VDAC1	UGCG
		UCHL3	VPS13D	VOPP1	WDR55
		UGP2	WDFY3	WAPL	XPNPEP3
		URM1	WWC3	WEE1	ZBP1
		WDR77	ZEB2	XCL1	ZFP36
		YIPF1	ZNF12	YIPF1	ZNF696
		ZBTB14	ZNF629	YY2
		ZHX2	ZSCAN2	ZMAT5
		ZNF280D		ZNF35
		ZNF85		ZNRD1ASP
		ZNHIT1
