IgM_VS_IgA_MEMORY	IgA_VS_IgM_MEMORY	IgG_IgA_MEMORY_VS_NAIVE	NAIVE_VS_IgG_IgA_MEMORY	IgM_MEMORY_VS_NAIVE	NAIVE_VS_IgM_MEMORY
SLA	STK38	SND1	SPTSSA	SND1	SORL1
SLC6A5	STK39	SP140	ST18	SNHG20	SPRY1
SLC7A4	STX11	SSPN	SV2C	SNU13	SPRY4
SLC7A7	SULT1A1	SUB1	SYT13	SOCS3	SSBP2
SNN	TBC1D4	SYBU	SZT2	SP140	STOM
SNX3	TBX2	TBC1D9	TAAR2	SPAG7	STRN4
SORBS3	TCEAL4	TBK1	TBC1D13	ST3GAL5	SYT17
SPATA20	TCHH	TBX2	TCL1A	STX8	SZT2
SPTSSA	TENM1	TESC	TENT5A	TBC1D9	TAAR2
STEAP1B	TFRC	TFDP1	TJAP1	TFDP1	TBC1D13
SYK	TGFB2	TFEC	TPCN1	TFEC	TENM1
TCF4	TLE1	TFRC	TPMT	THAP11	TENT5A
TCFL5	TMEM38B	THEMIS2	TPST1	TLE3	TIMELESS
TCL1A	TMPRSS11E	TLE3	TRDMT1	TM9SF2	TIMP4
TGFBRAP1	TMPRSS2	TMBIM1	TREML2	TMED1	TMOD1
TMEM159	TNFRSF10D	TMEM14A	TSPAN13	TMED3	TOMM34
TMEM254	TOX	TNFRSF17	TTC28	TMEM14A	TPD52L1
TMEM80	TPT1P8	TOR3A	TYR	TNFRSF1B	TPST1
TNS3	TRAC	TOX	UGDH	TNS3	TREML2
TOR1AIP1	TREH	TPI1	UGT8	TOR3A	TRIB2
TP53BP1	TRIM62	TRAC	UXS1	TOR4A	TRMT12
TRIM9	TRMT12	TRADD	VAV3	TPD52L2	TSFM
TSC1	TSFM	TSFM	VPS72	TPI1	TSPAN13
TULP4	TST	TUBB	WBP4	TRAF3	TSPAN32
UBXN6	TUBB2B	TUBB4B	WNT6	TRAF4	UCP1
UGCG	TYW1	UBE2G1	WWC3	TRAM2	UGDH
ULK1	UBE2N	UBE2J1	XYLT1	TRAPPC2L	USP2
