PSMB4,PKNOX2,ENTPD2,TNFAIP3,PCNX1,PPFIBP2,PTDSS1,POMGNT2
PTHLH,PLEK2,ENTPD3,TNFSF12,PDZK1IP1,PRDM4,PTTG1IP,PPIB
PTK2,PLK3,EOMES,TOMM22,PKP4,PSAP,PXMP2,PPM1H
PTPRJ,PMM2,EPM2AIP1,TOP1,PLK4,PTPRE,RAB20,PRMT8
QSOX2,PNMA1,ERCC8,TOR1AIP1,PLPP1,PYGL,RAB2B,PSPN
QTRT2,PORCN,FAAP100,TP53INP2,PPCDC,QPCT,RASSF5,PSTPIP2
RAD1,PPIF,FAM111B,TPI1,PPIL2,RAB13,RBP2,PTCHD4
RBM10,PPP1R11,FAM181B,TPMT,PPP1R16B,RAB20,REV3L,PTPRN
RCAN1,PPY2P,FAM47A,TRABD,PRC1,RASGRP3,RNF183,PYCARD
RGMB,PRDM2,FAM86C1,TRIM16,PRKCB,RBM47,RNF217,RAB17
RIOX1,PTP4A3,FAM87A,TRIM55,PSRC1,RBM6,RREB1,RAD54L2
RPAIN,PXN,FAP,TRIML1,PTGDR2,RELA,RRP36,RBBP8
RPL23A,RAB3GAP1,FBH1,TRIP12,PTPN22,RGL1,RSAD1,RBM15
SAMM50,RBM15,FBXO46,TRIP6,PTPRN2,RHBDF2,RSPH6A,RBMS3
SCFD2,RFX1,FBXW9,TRPM6,PTTG1,RHOQ,RSU1,RESP18
SEC14L2,RGS1,FGF13,TSNAX,PXMP2,RNASE1,SAV1,RIPK4
SEC61A2,RHOBTB3,FGF23,TSTA3,RAC2,RNF130,SCAMP1,RNF125
SEM1,RNF10,FITM1,TTC33,RAD1,RRAGD,SFXN5,RNF130
SERPINC1,RNF208,FKBP7,TTC7A,RAD51,RTN1,SIGLEC7,RPL19
SF3A1,RXRA,FKRP,TTL,RALGPS1,SAT1,SLC10A2,RPL3L
SLC22A15,S100A11,FNDC8,TTTY13,RBBP8,SCD,SLC10A3,RPTN
SLC39A1,S1PR5,FOS,TULP2,RBM4B,SCPEP1,SLC25A51,SCGB3A1
SLC6A6,SACS,FPGS,TUSC2,RCC1,SEMA3C,SLC28A2,SCRN1
SLC9A5,SAR1A,FRAT2,TYK2,RFC4,SERPINE1,SLC38A1,SECTM1
SLFN12,SCARB2,FSIP1,U2AF1,RNASEH2A,SGPL1,SLC38A10,SENP6
SLX4,SCARF1,FTO,UBA3,RPA3,SGSH,SLF2,SERTAD2
SNRPD2,SERPINB3,FUS,UBE2D1,RPL39L,SHTN1,SNAI3-AS1,SHF
SNRPF,SH2B3,GABARAPL3,UBE2U,RRAS2,SIRPA,SORCS2,SIRPA
SRPX2,SIRT6,GABRR3,UBFD1,RRM2,SLC11A2,SRM,SLAMF8
ST3GAL4,SLC27A2,GATC,UBL7,SEC61A2,SLC15A3,SRP54,SLC12A7
STN1,SLC4A4,GMNC,UBR5,SHMT2,SLC1A3,SRSF7,SLC15A4
STON1,SLC8A2,KLHL30-AS1,UGGT1,SLBP,SLC27A3,ST8SIA1,SLC17A6
STRADB,SLIT3,LINC00587,UGT2B17,SLC35F2,SLC2A5,STX2,SLC26A11
STRAP,SND1-IT1,LINC00951,UNC13D,SLCO4A1,SLC2A6,SUOX,SNTG2
STT3B,SOX14,LINC01550,UTS2B,SNF8,SLC30A1,TERF2IP,SORCS3
STX12,SP100,LINC01588,VAMP3,SP140,SLC38A6,THAP12,SOX17
SUCLG1,SPTB,LINC01949,VCPIP1,SPAG5,SLC47A1,TLR9,SPATA25
SVOP,SRSF5,LINC02210,VPS28,SPRR3,SNX2,TMEM158,SPHK1
SWI5,ST3GAL5,MCUB,WARS1,SYT11,SQSTM1,TMEM176A,SRPK2
SYNGR1,STK25,MFSD12,WDHD1,TARS1,ST3GAL5,TMEM176B,STMN2
TAF12,STX1A,MVB12A,WDR92,TFDP1,STX2,TMEM42,SYT17
THAP4,SYBU,MVB12B,XAF1,TK1,STX4,TMEM59L,TAC3
TKFC,TFG,PAGR1,YY1,TMEM106C,SYK,TNRC6A,TAF7
TMEM106C,TGFBR2,PIEZO2,ZAN,TNFSF10,TCF4,TPBG,THBS1
TMEM165,TIMP1,PRDM16-DT,ZBED6,TOP3A,TCF7,TPH1,TMCC3
TMEM50B,TMEM39A,PRR29,ZC3H13,TOX4,TEX2,TRH,TMEM256
TMEM70,TMEM51,PXYLP1,ZCCHC9,TPGS2,TIMP2,TRIM37,TMEM51
TPPP,TMEM74B,SCP2D1,ZDHHC8P1,TPX2,TLR1,TRIM39,TMEM65
TSTD2,TMEM87A,SOWAHA,ZFAND5,TRAC,TMEM176B,TSPAN32,TP73
TTLL5,TNFRSF12A,SUCO,ZFC3H1,TRIP13,TMEM51,TSR1,TPMT
TUBB2B,TNFSF14,TBATA,ZMIZ2,TRPA1,TMEM63A,TTC17,TREM1
UBD,TNNC2,TBC1D32,ZNF28,TUBB3,TNFRSF10B,URB2,TRPM1
UBQLN4,TPT1P8,TEX38,ZNF287,TUBB4B,TSC22D1,USP39,TSSK2
UFM1,TRBC1,TLCD3B,ZNF324B,TYMS,TTC3,UTP20,TTYH2
UNC13A,TSGA10,TRMT13,ZNF34,UBE2C,TYMP,UXS1,TYW1
USP22,TSPOAP1,ZNF436-AS1,ZNF385D,UBE2S,TYROBP,VAT1,UAP1L1
VSIG2,TUBB2A,ZNF736,ZNF394,UBFD1,UBE2W,VKORC1,UBE2J2
WARS1,TYR,,ZNF414,UQCRQ,VPS11,WDHD1,UCN2
YIF1A,UPK3A,,ZNF596,WDHD1,WNT5A,XCL1,UCN3
YWHAG,USP34,,ZNF618,WDR76,ZFYVE16,XPOT,VAMP1
ZFAT,WNT7A,,ZNF663P,WHRN,ZNF239,YJU2,VNN2
ZNF239,YBX3,,ZNF678,ZBED2,ZNF34,ZBED5,VXN
ZNF446,YES1,,ZNRD1,ZMYND10,ZNF415,ZCCHC18,WSCD1
ZNF580,ZNF274,,ZNRF2,ZNF544,ZNF573,ZDHHC6,YPEL2
ZSWIM7,ZYX,,ZPBP2,ZWILCH,ZSCAN18,ZFP2,YPEL5
ZW10,,,,ZWINT,,ZMYM1,ZDHHC7
,,,,,,ZNF536,ZNF575
